left_arm_joint1,left_arm_joint2,left_arm_joint3,left_arm_joint4,left_arm_joint5,left_arm_joint6,left_arm_joint7
0.409378,0.606816,-0.166939,-0.909682,0.554388,-0.098896,-0.266564
0.402938,0.601366,-0.161681,-0.908151,0.554263,-0.107669,-0.273182
0.400408,0.599134,-0.159601,-0.907496,0.554063,-0.111467,-0.275851
0.393555,0.593233,-0.154335,-0.905511,0.553408,-0.120637,-0.282737
0.390959,0.591014,-0.152204,-0.904916,0.553562,-0.123956,-0.28558
0.384298,0.585629,-0.146743,-0.903656,0.554677,-0.131017,-0.293021
0.380328,0.582456,-0.143418,-0.903026,0.555747,-0.134785,-0.297617
0.375193,0.57812,-0.138954,-0.902211,0.557511,-0.139707,-0.303745
0.390959,0.591014,-0.152204,-0.904916,0.553562,-0.123956,-0.28558
0.390959,0.591014,-0.152204,-0.904916,0.553562,-0.123956,-0.28558
0.363564,0.566751,-0.127489,-0.900509,0.564326,-0.151487,-0.319115
0.356719,0.560652,-0.122514,-0.898697,0.565534,-0.158001,-0.326215
0.35379,0.558025,-0.12054,-0.897809,0.565307,-0.160732,-0.328905
0.345832,0.55144,-0.116073,-0.894992,0.56399,-0.167897,-0.335612
0.34242,0.548769,-0.114322,-0.893698,0.563162,-0.170804,-0.338425
0.3332,0.541862,-0.109966,-0.889823,0.559949,-0.178533,-0.345972
0.327266,0.537632,-0.107414,-0.887193,0.557465,-0.183227,-0.350638
0.318998,0.532118,-0.104193,-0.883646,0.554184,-0.188858,-0.356664
0.313028,0.528283,-0.101809,-0.881559,0.551948,-0.192316,-0.360863
0.302406,0.52219,-0.098357,-0.877808,0.548364,-0.197333,-0.367568
0.298332,0.5198,-0.096925,-0.87646,0.54704,-0.19924,-0.370238
0.288283,0.513603,-0.093124,-0.872865,0.54401,-0.204083,-0.377189
0.284339,0.511153,-0.091612,-0.871402,0.543005,-0.205966,-0.380051
0.274733,0.504968,-0.087728,-0.867816,0.540626,-0.21083,-0.387106
0.271045,0.50238,-0.086029,-0.866486,0.53954,-0.212931,-0.389797
0.261609,0.495809,-0.082067,-0.8626,0.53665,-0.21907,-0.395934
0.255969,0.491746,-0.079641,-0.860186,0.534882,-0.222986,-0.399499
0.248244,0.486168,-0.076338,-0.856828,0.532892,-0.228018,-0.404661
0.24251,0.481768,-0.073538,-0.854477,0.531751,-0.231428,-0.409077
0.271045,0.50238,-0.086029,-0.866486,0.53954,-0.212931,-0.389797
0.228376,0.471273,-0.067219,-0.848338,0.530096,-0.23911,-0.420147
0.217848,0.463805,-0.062883,-0.844067,0.528469,-0.244313,-0.427525
0.213439,0.460797,-0.0612,-0.8423,0.527686,-0.246313,-0.430371
0.202205,0.453252,-0.05705,-0.837776,0.525572,-0.251351,-0.437324
0.197684,0.450222,-0.055386,-0.835904,0.524679,-0.253467,-0.440062
0.18642,0.442514,-0.051038,-0.83132,0.52216,-0.258864,-0.446633
0.179588,0.43786,-0.048399,-0.82847,0.520528,-0.26223,-0.450527
0.170308,0.431704,-0.044887,-0.82431,0.518298,-0.266977,-0.455996
0.163476,0.427058,-0.04192,-0.821206,0.516334,-0.270648,-0.46044
0.15154,0.419547,-0.037326,-0.815128,0.513238,-0.277287,-0.468237
0.146926,0.416501,-0.035376,-0.812853,0.511979,-0.279938,-0.471382
0.134931,0.408403,-0.030337,-0.806632,0.508601,-0.28661,-0.479244
0.130123,0.405063,-0.028286,-0.804062,0.50725,-0.289349,-0.482405
0.15154,0.419547,-0.037326,-0.815128,0.513238,-0.277287,-0.468237
-0.482989,0.268734,0.340789,-0.193182,-0.045887,-0.322289,-0.575371
-0.51237,0.28219,0.234626,-0.143278,0.058825,-0.352123,-0.573415
-0.522462,0.288064,0.1204,-0.117977,0.17322,-0.374418,-0.570443
-0.482989,0.268734,0.340789,-0.193182,-0.045887,-0.322289,-0.575371
-0.482989,0.268734,0.340789,-0.193182,-0.045887,-0.322289,-0.575371
-0.34632,0.247243,0.22696,-0.370593,0.133644,-0.321741,-0.583735
-0.34134,0.246486,0.22218,-0.378803,0.142193,-0.322803,-0.584506
-0.330811,0.244747,0.211887,-0.397492,0.161401,-0.325492,-0.586682
-0.327177,0.244112,0.208234,-0.404471,0.168409,-0.326503,-0.58754
-0.319503,0.242573,0.200309,-0.420599,0.184283,-0.329044,-0.589906
-0.31658,0.242021,0.197337,-0.426897,0.190404,-0.33011,-0.590991
-0.310055,0.240496,0.191667,-0.441961,0.203966,-0.332806,-0.594463
-0.306808,0.239618,0.188774,-0.450321,0.21142,-0.334501,-0.596779
-0.303205,0.238436,0.185294,-0.460822,0.220519,-0.336766,-0.599788
-0.31658,0.242021,0.197337,-0.426897,0.190404,-0.33011,-0.590991
-0.298015,0.236579,0.177538,-0.479685,0.237903,-0.341867,-0.605239
-0.297155,0.235985,0.176271,-0.484164,0.241316,-0.342891,-0.606573
-0.297487,0.234397,0.174375,-0.49305,0.247805,-0.344819,-0.609815
-0.298344,0.233779,0.173869,-0.495934,0.249916,-0.345368,-0.611079
-0.301548,0.232118,0.17334,-0.502171,0.253882,-0.346489,-0.613989
-0.303469,0.231453,0.173225,-0.503882,0.255037,-0.347103,-0.615006
-0.309056,0.229581,0.173838,-0.507284,0.256263,-0.348891,-0.617117
-0.313023,0.228411,0.17448,-0.508643,0.256318,-0.349991,-0.618159
-0.318321,0.22683,0.175195,-0.51052,0.256453,-0.351068,-0.619353
-0.322269,0.225641,0.175516,-0.512096,0.256733,-0.351385,-0.620022
-0.328845,0.223647,0.17583,-0.514853,0.257265,-0.351336,-0.620783
